dataset,algorithm,purity,num_neighbors,num_clusters,k
iris,girvan-newman,0.6733333333333333,25,3,0.1
iris,girvan-newman,0.6733333333333333,25,3,0.5
iris,girvan-newman,0.6733333333333333,25,3,1
iris,girvan-newman,0.6733333333333333,25,3,2
iris,girvan-newman,0.9066666666666666,25,3,3
iris,girvan-newman,0.9066666666666666,25,3,4
iris,girvan-newman,0.9066666666666666,25,3,5
iris,girvan-newman,0.9066666666666666,25,3,10
iris,girvan-newman,0.9066666666666666,25,3,11
iris,girvan-newman,0.9066666666666666,25,3,12
iris,girvan-newman,0.9066666666666666,25,3,13
iris,girvan-newman,0.9066666666666666,25,3,14
iris,girvan-newman,0.9066666666666666,25,3,15
iris,girvan-newman,0.9066666666666666,25,3,16
iris,girvan-newman,0.9066666666666666,25,3,17
iris,girvan-newman,0.9066666666666666,25,3,18
iris,girvan-newman,0.9066666666666666,25,3,19
iris,girvan-newman,0.9066666666666666,25,3,20
iris,girvan-newman,0.9066666666666666,25,3,50
iris,girvan-newman,0.9066666666666666,25,3,100
iris,girvan-newman,0.3466666666666667,50,3,0.1
iris,girvan-newman,0.3466666666666667,50,3,0.5
iris,girvan-newman,0.6733333333333333,50,3,1
iris,girvan-newman,0.6733333333333333,50,3,2
iris,girvan-newman,0.6733333333333333,50,3,3
iris,girvan-newman,0.6733333333333333,50,3,4
iris,girvan-newman,0.6733333333333333,50,3,5
iris,girvan-newman,0.9066666666666666,50,3,10
iris,girvan-newman,0.9066666666666666,50,3,11
iris,girvan-newman,0.9066666666666666,50,3,12
iris,girvan-newman,0.9066666666666666,50,3,13
iris,girvan-newman,0.9066666666666666,50,3,14
iris,girvan-newman,0.9066666666666666,50,3,15
iris,girvan-newman,0.9066666666666666,50,3,16
iris,girvan-newman,0.9066666666666666,50,3,17
iris,girvan-newman,0.9066666666666666,50,3,18
iris,girvan-newman,0.9066666666666666,50,3,19
iris,girvan-newman,0.9133333333333333,50,3,20
iris,girvan-newman,0.9066666666666666,50,3,50
iris,girvan-newman,0.9066666666666666,50,3,100
iris,girvan-newman,0.3466666666666667,75,3,0.1
iris,girvan-newman,0.3466666666666667,75,3,0.5
iris,girvan-newman,0.3466666666666667,75,3,1
iris,girvan-newman,0.3466666666666667,75,3,2
iris,girvan-newman,0.3466666666666667,75,3,3
iris,girvan-newman,0.6666666666666666,75,3,4
iris,girvan-newman,0.6666666666666666,75,3,5
iris,girvan-newman,0.6666666666666666,75,3,10
iris,girvan-newman,0.6666666666666666,75,3,11
iris,girvan-newman,0.6666666666666666,75,3,12
iris,girvan-newman,0.6666666666666666,75,3,13
iris,girvan-newman,0.6666666666666666,75,3,14
iris,girvan-newman,0.6666666666666666,75,3,15
iris,girvan-newman,0.6666666666666666,75,3,16
iris,girvan-newman,0.6666666666666666,75,3,17
iris,girvan-newman,0.6666666666666666,75,3,18
iris,girvan-newman,0.6666666666666666,75,3,19
iris,girvan-newman,0.6666666666666666,75,3,20
iris,girvan-newman,0.6666666666666666,75,3,50
iris,girvan-newman,0.6666666666666666,75,3,100
iris,girvan-newman,0.3466666666666667,100,3,0.1
iris,girvan-newman,0.3466666666666667,100,3,0.5
iris,girvan-newman,0.3466666666666667,100,3,1
iris,girvan-newman,0.3466666666666667,100,3,2
iris,girvan-newman,0.3466666666666667,100,3,3
iris,girvan-newman,0.3466666666666667,100,3,4
iris,girvan-newman,0.3466666666666667,100,3,5
iris,girvan-newman,0.3466666666666667,100,3,10
iris,girvan-newman,0.3466666666666667,100,3,11
iris,girvan-newman,0.3466666666666667,100,3,12
iris,girvan-newman,0.3466666666666667,100,3,13
iris,girvan-newman,0.3466666666666667,100,3,14
iris,girvan-newman,0.3466666666666667,100,3,15
iris,girvan-newman,0.3466666666666667,100,3,16
iris,girvan-newman,0.3466666666666667,100,3,17
iris,girvan-newman,0.3466666666666667,100,3,18
iris,girvan-newman,0.3466666666666667,100,3,19
iris,girvan-newman,0.3466666666666667,100,3,20
iris,girvan-newman,0.3466666666666667,100,3,50
iris,girvan-newman,0.3466666666666667,100,3,100
iris,girvan-newman,0.3466666666666667,125,3,0.1
iris,girvan-newman,0.3466666666666667,125,3,0.5
iris,girvan-newman,0.3466666666666667,125,3,1
iris,girvan-newman,0.3466666666666667,125,3,2
iris,girvan-newman,0.3466666666666667,125,3,3
iris,girvan-newman,0.3466666666666667,125,3,4
iris,girvan-newman,0.3466666666666667,125,3,5
iris,girvan-newman,0.3466666666666667,125,3,10
iris,girvan-newman,0.3466666666666667,125,3,11
iris,girvan-newman,0.3466666666666667,125,3,12
iris,girvan-newman,0.3466666666666667,125,3,13
iris,girvan-newman,0.3466666666666667,125,3,14
iris,girvan-newman,0.3466666666666667,125,3,15
iris,girvan-newman,0.3466666666666667,125,3,16
iris,girvan-newman,0.3466666666666667,125,3,17
iris,girvan-newman,0.3466666666666667,125,3,18
iris,girvan-newman,0.3466666666666667,125,3,19
iris,girvan-newman,0.3466666666666667,125,3,20
iris,girvan-newman,0.3466666666666667,125,3,50
iris,girvan-newman,0.3466666666666667,125,3,100
