,dataset,algorithm,purity,num_neighbors,num_clusters,k
0,cancer,Girvan-Newman,0.6291739894551845,25,2,0.1
1,cancer,Girvan-Newman,0.6291739894551845,25,2,0.5
2,cancer,Girvan-Newman,0.6274165202108963,25,2,1.0
3,cancer,Girvan-Newman,0.8224956063268892,25,2,2.0
4,cancer,Girvan-Newman,0.8224956063268892,25,2,3.0
5,cancer,Girvan-Newman,0.8224956063268892,25,2,4.0
6,cancer,Girvan-Newman,0.8224956063268892,25,2,5.0
7,cancer,Girvan-Newman,0.8224956063268892,25,2,10.0
8,cancer,Girvan-Newman,0.8224956063268892,25,2,11.0
9,cancer,Girvan-Newman,0.8224956063268892,25,2,12.0
10,cancer,Girvan-Newman,0.8224956063268892,25,2,13.0
11,cancer,Girvan-Newman,0.8224956063268892,25,2,14.0
12,cancer,Girvan-Newman,0.8224956063268892,25,2,15.0
13,cancer,Girvan-Newman,0.8224956063268892,25,2,16.0
14,cancer,Girvan-Newman,0.8224956063268892,25,2,17.0
15,cancer,Girvan-Newman,0.8224956063268892,25,2,18.0
16,cancer,Girvan-Newman,0.8224956063268892,25,2,19.0
17,cancer,Girvan-Newman,0.8224956063268892,25,2,20.0
18,cancer,Girvan-Newman,0.8224956063268892,25,2,50.0
19,cancer,Girvan-Newman,0.8224956063268892,25,2,100.0
0,cancer,Girvan-Newman,0.6291739894551845,50,2,0.1
1,cancer,Girvan-Newman,0.6291739894551845,50,2,0.5
2,cancer,Girvan-Newman,0.6291739894551845,50,2,1.0
3,cancer,Girvan-Newman,0.8224956063268892,50,2,2.0
4,cancer,Girvan-Newman,0.8224956063268892,50,2,3.0
5,cancer,Girvan-Newman,0.8224956063268892,50,2,4.0
6,cancer,Girvan-Newman,0.8224956063268892,50,2,5.0
7,cancer,Girvan-Newman,0.8224956063268892,50,2,10.0
8,cancer,Girvan-Newman,0.8224956063268892,50,2,11.0
9,cancer,Girvan-Newman,0.8224956063268892,50,2,12.0
10,cancer,Girvan-Newman,0.8224956063268892,50,2,13.0
11,cancer,Girvan-Newman,0.8224956063268892,50,2,14.0
12,cancer,Girvan-Newman,0.8224956063268892,50,2,15.0
13,cancer,Girvan-Newman,0.8224956063268892,50,2,16.0
14,cancer,Girvan-Newman,0.8224956063268892,50,2,17.0
15,cancer,Girvan-Newman,0.8224956063268892,50,2,18.0
16,cancer,Girvan-Newman,0.8224956063268892,50,2,19.0
17,cancer,Girvan-Newman,0.8224956063268892,50,2,20.0
18,cancer,Girvan-Newman,0.8224956063268892,50,2,50.0
19,cancer,Girvan-Newman,0.8224956063268892,50,2,100.0
0,cancer,Girvan-Newman,0.6274165202108963,75,2,0.1
1,cancer,Girvan-Newman,0.6274165202108963,75,2,0.5
2,cancer,Girvan-Newman,0.6274165202108963,75,2,1.0
3,cancer,Girvan-Newman,0.8066783831282952,75,2,2.0
4,cancer,Girvan-Newman,0.8014059753954306,75,2,3.0
5,cancer,Girvan-Newman,0.8014059753954306,75,2,4.0
6,cancer,Girvan-Newman,0.8014059753954306,75,2,5.0
7,cancer,Girvan-Newman,0.8014059753954306,75,2,10.0
8,cancer,Girvan-Newman,0.8014059753954306,75,2,11.0
9,cancer,Girvan-Newman,0.8014059753954306,75,2,12.0
10,cancer,Girvan-Newman,0.8014059753954306,75,2,13.0
11,cancer,Girvan-Newman,0.8014059753954306,75,2,14.0
12,cancer,Girvan-Newman,0.8014059753954306,75,2,15.0
13,cancer,Girvan-Newman,0.8014059753954306,75,2,16.0
14,cancer,Girvan-Newman,0.8014059753954306,75,2,17.0
15,cancer,Girvan-Newman,0.8014059753954306,75,2,18.0
16,cancer,Girvan-Newman,0.8014059753954306,75,2,19.0
17,cancer,Girvan-Newman,0.8014059753954306,75,2,20.0
18,cancer,Girvan-Newman,0.8014059753954306,75,2,50.0
19,cancer,Girvan-Newman,0.8014059753954306,75,2,100.0
0,cancer,Girvan-Newman,0.6291739894551845,100,2,0.1
1,cancer,Girvan-Newman,0.6291739894551845,100,2,0.5
2,cancer,Girvan-Newman,0.6274165202108963,100,2,1.0
3,cancer,Girvan-Newman,0.6274165202108963,100,2,2.0
4,cancer,Girvan-Newman,0.773286467486819,100,2,3.0
5,cancer,Girvan-Newman,0.7785588752196837,100,2,4.0
6,cancer,Girvan-Newman,0.7785588752196837,100,2,5.0
7,cancer,Girvan-Newman,0.7873462214411248,100,2,10.0
8,cancer,Girvan-Newman,0.7873462214411248,100,2,11.0
9,cancer,Girvan-Newman,0.7873462214411248,100,2,12.0
10,cancer,Girvan-Newman,0.7873462214411248,100,2,13.0
11,cancer,Girvan-Newman,0.7873462214411248,100,2,14.0
12,cancer,Girvan-Newman,0.7873462214411248,100,2,15.0
13,cancer,Girvan-Newman,0.7873462214411248,100,2,16.0
14,cancer,Girvan-Newman,0.7873462214411248,100,2,17.0
15,cancer,Girvan-Newman,0.7873462214411248,100,2,18.0
16,cancer,Girvan-Newman,0.7873462214411248,100,2,19.0
17,cancer,Girvan-Newman,0.7873462214411248,100,2,20.0
18,cancer,Girvan-Newman,0.7873462214411248,100,2,50.0
19,cancer,Girvan-Newman,0.7873462214411248,100,2,100.0
0,cancer,Girvan-Newman,0.6274165202108963,10,2,0.1
1,cancer,Girvan-Newman,0.6274165202108963,10,2,0.5
2,cancer,Girvan-Newman,0.6291739894551845,10,2,1.0
3,cancer,Girvan-Newman,0.836555360281195,10,2,2.0
4,cancer,Girvan-Newman,0.836555360281195,10,2,3.0
5,cancer,Girvan-Newman,0.8224956063268892,10,2,4.0
6,cancer,Girvan-Newman,0.8224956063268892,10,2,5.0
7,cancer,Girvan-Newman,0.8224956063268892,10,2,10.0
8,cancer,Girvan-Newman,0.8224956063268892,10,2,11.0
9,cancer,Girvan-Newman,0.8224956063268892,10,2,12.0
10,cancer,Girvan-Newman,0.8224956063268892,10,2,13.0
11,cancer,Girvan-Newman,0.8224956063268892,10,2,14.0
12,cancer,Girvan-Newman,0.8224956063268892,10,2,15.0
13,cancer,Girvan-Newman,0.8224956063268892,10,2,16.0
14,cancer,Girvan-Newman,0.8224956063268892,10,2,17.0
15,cancer,Girvan-Newman,0.8224956063268892,10,2,18.0
16,cancer,Girvan-Newman,0.8224956063268892,10,2,19.0
17,cancer,Girvan-Newman,0.8224956063268892,10,2,20.0
18,cancer,Girvan-Newman,0.8224956063268892,10,2,50.0
19,cancer,Girvan-Newman,0.8224956063268892,10,2,100.0
