dataset,algorithm,mean_purity,num_neighbors,num_clusters,k,ci
cancer,harmonic-spectral-clustering,0.8240773286467487,25,2,0.1,(0.7724226584917513, 0.875731998801746)
cancer,harmonic-spectral-clustering,0.8224956063268893,25,2,0.5,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,25,2,1,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,25,2,2,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,25,2,3,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,25,2,4,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,25,2,5,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,25,2,10,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,25,2,11,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,25,2,12,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,25,2,13,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,25,2,14,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,25,2,15,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,25,2,16,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,25,2,17,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,25,2,18,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,25,2,19,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,25,2,20,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,25,2,50,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,25,2,100,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.7706502636203867,50,2,0.1,(0.6932924834455839, 0.8480080437951895)
cancer,harmonic-spectral-clustering,0.820738137082601,50,2,0.5,(nan, nan)
cancer,harmonic-spectral-clustering,0.8214411247803163,50,2,1,(0.8207919003202463, 0.8220903492403863)
cancer,harmonic-spectral-clustering,0.8224956063268893,50,2,2,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,50,2,3,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,50,2,4,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,50,2,5,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,50,2,10,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,50,2,11,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,50,2,12,(0.8224956063268892, 0.8224956063268895)
cancer,harmonic-spectral-clustering,0.8224956063268893,50,2,13,(0.8224956063268892, 0.8224956063268895)
