dataset,algorithm,mean_purity,num_neighbors,num_clusters,k,ci
cancer,kharmonic_kmeans,0.6437609841827768,25,2,0.1,(0.6244195243933303, 0.6631024439722234)
cancer,kharmonic_kmeans,0.7739894551845341,25,2,0.5,(0.7031818119430128, 0.8447970984260554)
cancer,kharmonic_kmeans,0.8224956063268893,25,2,1,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,25,2,2,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,25,2,3,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,25,2,4,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,25,2,5,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,25,2,10,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,25,2,11,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,25,2,12,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,25,2,13,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,25,2,14,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,25,2,15,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,25,2,16,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,25,2,17,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,25,2,18,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,25,2,19,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,25,2,20,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,25,2,50,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,25,2,100,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.6342706502636204,50,2,0.1,(0.6192020913386279, 0.6493392091886129)
cancer,kharmonic_kmeans,0.7388400702987699,50,2,0.5,(0.6568533622869958, 0.820826778310544)
cancer,kharmonic_kmeans,0.8026362038664322,50,2,1,(0.758591495544922, 0.8466809121879424)
cancer,kharmonic_kmeans,0.8219683655536029,50,2,2,(0.8213610716794291, 0.8225756594277767)
cancer,kharmonic_kmeans,0.8224956063268893,50,2,3,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,50,2,4,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,50,2,5,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,50,2,10,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,50,2,11,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,50,2,12,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,50,2,13,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,50,2,14,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,50,2,15,(0.8224956063268892, 0.8224956063268895)
cancer,kharmonic_kmeans,0.8224956063268893,50,2,16,(0.8224956063268892, 0.8224956063268895)
