,dataset,algorithm,purity,num_neighbors,num_clusters,k
0,iris,Girvan-Newman-Best,0.6666666666666666,25,10,0.1
1,iris,Girvan-Newman-Best,0.6666666666666666,25,10,0.5
2,iris,Girvan-Newman-Best,0.6666666666666666,25,10,1.0
3,iris,Girvan-Newman-Best,0.9,25,10,2.0
4,iris,Girvan-Newman-Best,0.9066666666666666,25,10,3.0
5,iris,Girvan-Newman-Best,0.9066666666666666,25,10,4.0
6,iris,Girvan-Newman-Best,0.9066666666666666,25,10,5.0
7,iris,Girvan-Newman-Best,0.9066666666666666,25,10,10.0
8,iris,Girvan-Newman-Best,0.9066666666666666,25,10,11.0
9,iris,Girvan-Newman-Best,0.9066666666666666,25,10,12.0
10,iris,Girvan-Newman-Best,0.9066666666666666,25,10,13.0
11,iris,Girvan-Newman-Best,0.9066666666666666,25,10,14.0
12,iris,Girvan-Newman-Best,0.9066666666666666,25,10,15.0
13,iris,Girvan-Newman-Best,0.9066666666666666,25,10,16.0
14,iris,Girvan-Newman-Best,0.9066666666666666,25,10,17.0
15,iris,Girvan-Newman-Best,0.9066666666666666,25,10,18.0
16,iris,Girvan-Newman-Best,0.9066666666666666,25,10,19.0
17,iris,Girvan-Newman-Best,0.9066666666666666,25,10,20.0
18,iris,Girvan-Newman-Best,0.9066666666666666,25,10,50.0
19,iris,Girvan-Newman-Best,0.9066666666666666,25,10,100.0
0,iris,Girvan-Newman-Best,0.3933333333333333,50,10,0.1
1,iris,Girvan-Newman-Best,0.3933333333333333,50,10,0.5
2,iris,Girvan-Newman-Best,0.6666666666666666,50,10,1.0
3,iris,Girvan-Newman-Best,0.6666666666666666,50,10,2.0
4,iris,Girvan-Newman-Best,0.6666666666666666,50,10,3.0
5,iris,Girvan-Newman-Best,0.6666666666666666,50,10,4.0
6,iris,Girvan-Newman-Best,0.6666666666666666,50,10,5.0
7,iris,Girvan-Newman-Best,0.9066666666666666,50,10,10.0
8,iris,Girvan-Newman-Best,0.9066666666666666,50,10,11.0
9,iris,Girvan-Newman-Best,0.9066666666666666,50,10,12.0
10,iris,Girvan-Newman-Best,0.9066666666666666,50,10,13.0
11,iris,Girvan-Newman-Best,0.9066666666666666,50,10,14.0
12,iris,Girvan-Newman-Best,0.9066666666666666,50,10,15.0
13,iris,Girvan-Newman-Best,0.9066666666666666,50,10,16.0
14,iris,Girvan-Newman-Best,0.9066666666666666,50,10,17.0
15,iris,Girvan-Newman-Best,0.9066666666666666,50,10,18.0
16,iris,Girvan-Newman-Best,0.9066666666666666,50,10,19.0
17,iris,Girvan-Newman-Best,0.9066666666666666,50,10,20.0
18,iris,Girvan-Newman-Best,0.9066666666666666,50,10,50.0
19,iris,Girvan-Newman-Best,0.9066666666666666,50,10,100.0
0,iris,Girvan-Newman-Best,0.3933333333333333,75,10,0.1
1,iris,Girvan-Newman-Best,0.3933333333333333,75,10,0.5
2,iris,Girvan-Newman-Best,0.3933333333333333,75,10,1.0
3,iris,Girvan-Newman-Best,0.3933333333333333,75,10,2.0
4,iris,Girvan-Newman-Best,0.3933333333333333,75,10,3.0
5,iris,Girvan-Newman-Best,0.6666666666666666,75,10,4.0
6,iris,Girvan-Newman-Best,0.6666666666666666,75,10,5.0
7,iris,Girvan-Newman-Best,0.6666666666666666,75,10,10.0
8,iris,Girvan-Newman-Best,0.6666666666666666,75,10,11.0
9,iris,Girvan-Newman-Best,0.6666666666666666,75,10,12.0
10,iris,Girvan-Newman-Best,0.6666666666666666,75,10,13.0
11,iris,Girvan-Newman-Best,0.6666666666666666,75,10,14.0
12,iris,Girvan-Newman-Best,0.6666666666666666,75,10,15.0
13,iris,Girvan-Newman-Best,0.6666666666666666,75,10,16.0
14,iris,Girvan-Newman-Best,0.6666666666666666,75,10,17.0
15,iris,Girvan-Newman-Best,0.6666666666666666,75,10,18.0
16,iris,Girvan-Newman-Best,0.6666666666666666,75,10,19.0
17,iris,Girvan-Newman-Best,0.6666666666666666,75,10,20.0
18,iris,Girvan-Newman-Best,0.6666666666666666,75,10,50.0
19,iris,Girvan-Newman-Best,0.6666666666666666,75,10,100.0
0,iris,Girvan-Newman-Best,0.3933333333333333,100,10,0.1
1,iris,Girvan-Newman-Best,0.3933333333333333,100,10,0.5
2,iris,Girvan-Newman-Best,0.3933333333333333,100,10,1.0
3,iris,Girvan-Newman-Best,0.3933333333333333,100,10,2.0
4,iris,Girvan-Newman-Best,0.3933333333333333,100,10,3.0
5,iris,Girvan-Newman-Best,0.3933333333333333,100,10,4.0
6,iris,Girvan-Newman-Best,0.3933333333333333,100,10,5.0
7,iris,Girvan-Newman-Best,0.3933333333333333,100,10,10.0
8,iris,Girvan-Newman-Best,0.3933333333333333,100,10,11.0
9,iris,Girvan-Newman-Best,0.3933333333333333,100,10,12.0
10,iris,Girvan-Newman-Best,0.3933333333333333,100,10,13.0
11,iris,Girvan-Newman-Best,0.3933333333333333,100,10,14.0
12,iris,Girvan-Newman-Best,0.3933333333333333,100,10,15.0
13,iris,Girvan-Newman-Best,0.3933333333333333,100,10,16.0
14,iris,Girvan-Newman-Best,0.3933333333333333,100,10,17.0
15,iris,Girvan-Newman-Best,0.3933333333333333,100,10,18.0
16,iris,Girvan-Newman-Best,0.3933333333333333,100,10,19.0
17,iris,Girvan-Newman-Best,0.3933333333333333,100,10,20.0
18,iris,Girvan-Newman-Best,0.3933333333333333,100,10,50.0
19,iris,Girvan-Newman-Best,0.3933333333333333,100,10,100.0
