dataset,algorithm,mean_purity,num_neighbors,num_clusters,k,ci
iris,harmonic-spectral-clustering,0.804,25,3,0.1,(0.7345907622500926, 0.8734092377499075)
iris,harmonic-spectral-clustering,0.8313333333333335,25,3,0.5,(0.7499624193946106, 0.9127042472720563)
iris,harmonic-spectral-clustering,0.7913333333333334,25,3,1,(0.6967759790538133, 0.8858906876128536)
iris,harmonic-spectral-clustering,0.8380000000000001,25,3,2,(0.7722228845939927, 0.9037771154060075)
iris,harmonic-spectral-clustering,0.8753333333333334,25,3,3,(0.8549692647562561, 0.8956974019104107)
iris,harmonic-spectral-clustering,0.8366666666666667,25,3,4,(0.7710742215402294, 0.9022591117931039)
iris,harmonic-spectral-clustering,0.82,25,3,5,(0.7430357460306738, 0.8969642539693261)
iris,harmonic-spectral-clustering,0.8059999999999998,25,3,10,(0.7362547963675491, 0.8757452036324506)
iris,harmonic-spectral-clustering,0.8173333333333334,25,3,11,(0.7410882330784562, 0.8935784335882105)
iris,harmonic-spectral-clustering,0.8473333333333335,25,3,12,(0.7770107887645127, 0.9176558779021543)
iris,harmonic-spectral-clustering,0.8373333333333333,25,3,13,(0.771627331459886, 0.9030393352067805)
iris,harmonic-spectral-clustering,0.8220000000000001,25,3,14,(0.7440228968866986, 0.8999771031133015)
iris,harmonic-spectral-clustering,0.8200000000000001,25,3,15,(0.7425447932276317, 0.8974552067723685)
iris,harmonic-spectral-clustering,0.804,25,3,16,(0.7186235674654087, 0.8893764325345914)
iris,harmonic-spectral-clustering,0.7933333333333333,25,3,17,(0.7137856708059919, 0.8728809958606748)
iris,harmonic-spectral-clustering,0.8473333333333335,25,3,18,(0.7778785998209146, 0.9167880668457524)
iris,harmonic-spectral-clustering,0.8513333333333334,25,3,19,(0.8008599906334865, 0.9018066760331803)
iris,harmonic-spectral-clustering,0.8586666666666666,25,3,20,(0.8076579347209049, 0.9096753986124283)
iris,harmonic-spectral-clustering,0.8433333333333334,25,3,50,(0.7740680586086341, 0.9125986080580326)
iris,harmonic-spectral-clustering,0.33333333333333337,25,3,100,(0.3333333333333333, 0.3333333333333334)
iris,harmonic-spectral-clustering,0.8166666666666667,50,3,0.1,(0.7359443107988481, 0.8973890225344852)
iris,harmonic-spectral-clustering,0.884,50,3,0.5,(0.8293371248549755, 0.9386628751450246)
iris,harmonic-spectral-clustering,0.8453333333333333,50,3,1,(0.7804166678694966, 0.91024999879717)
iris,harmonic-spectral-clustering,0.8133333333333332,50,3,2,(0.7442232904523524, 0.8824433762143141)
iris,harmonic-spectral-clustering,0.8333333333333334,50,3,3,(0.7742364902349466, 0.8924301764317202)
iris,harmonic-spectral-clustering,0.8126666666666666,50,3,4,(0.7438699748365603, 0.881463358496773)
iris,harmonic-spectral-clustering,0.8126666666666666,50,3,5,(0.7438699748365603, 0.881463358496773)
iris,harmonic-spectral-clustering,0.7926666666666666,50,3,10,(0.7191810471400799, 0.8661522861932534)
iris,harmonic-spectral-clustering,0.774,50,3,11,(0.6990839687044661, 0.848916031295534)
iris,harmonic-spectral-clustering,0.7533333333333333,50,3,12,(0.6804502703180808, 0.8262163963485858)
iris,harmonic-spectral-clustering,0.7939999999999999,50,3,13,(0.7196256435310419, 0.868374356468958)
iris,harmonic-spectral-clustering,0.8526666666666666,50,3,14,(0.8075661804368051, 0.8977671528965281)
iris,harmonic-spectral-clustering,0.852,50,3,15,(0.8070482448954095, 0.8969517551045905)
iris,harmonic-spectral-clustering,0.852,50,3,16,(0.8070482448954095, 0.8969517551045905)
iris,harmonic-spectral-clustering,0.834,50,3,17,(0.7733228558430477, 0.8946771441569522)
iris,harmonic-spectral-clustering,0.772,50,3,18,(0.698571144065662, 0.845428855934338)
