,dataset,algorithm,purity,num_neighbors,num_clusters,k
0,iris,k-Means,0.6733333333333333,10,3,0.1
1,iris,k-Means,0.7333333333333333,10,3,0.5
2,iris,k-Means,0.5733333333333334,10,3,1.0
3,iris,k-Means,0.7466666666666667,10,3,2.0
4,iris,k-Means,0.7466666666666667,10,3,3.0
5,iris,k-Means,0.7466666666666667,10,3,4.0
6,iris,k-Means,0.7466666666666667,10,3,5.0
7,iris,k-Means,0.7466666666666667,10,3,10.0
8,iris,k-Means,0.7466666666666667,10,3,11.0
9,iris,k-Means,0.7466666666666667,10,3,12.0
10,iris,k-Means,0.7466666666666667,10,3,13.0
11,iris,k-Means,0.7466666666666667,10,3,14.0
12,iris,k-Means,0.7466666666666667,10,3,15.0
13,iris,k-Means,0.7466666666666667,10,3,16.0
14,iris,k-Means,0.7466666666666667,10,3,17.0
15,iris,k-Means,0.7466666666666667,10,3,18.0
16,iris,k-Means,0.7466666666666667,10,3,19.0
17,iris,k-Means,0.7466666666666667,10,3,20.0
18,iris,k-Means,0.7466666666666667,10,3,50.0
19,iris,k-Means,0.7466666666666667,10,3,100.0
0,iris,k-Means,0.38666666666666666,25,3,0.1
1,iris,k-Means,0.6733333333333333,25,3,0.5
2,iris,k-Means,0.8933333333333333,25,3,1.0
3,iris,k-Means,0.94,25,3,2.0
4,iris,k-Means,0.8533333333333334,25,3,3.0
5,iris,k-Means,0.8533333333333334,25,3,4.0
6,iris,k-Means,0.8533333333333334,25,3,5.0
7,iris,k-Means,0.8533333333333334,25,3,10.0
8,iris,k-Means,0.8533333333333334,25,3,11.0
9,iris,k-Means,0.8533333333333334,25,3,12.0
10,iris,k-Means,0.8533333333333334,25,3,13.0
11,iris,k-Means,0.8533333333333334,25,3,14.0
12,iris,k-Means,0.8533333333333334,25,3,15.0
13,iris,k-Means,0.8533333333333334,25,3,16.0
14,iris,k-Means,0.8533333333333334,25,3,17.0
15,iris,k-Means,0.8533333333333334,25,3,18.0
16,iris,k-Means,0.8533333333333334,25,3,19.0
17,iris,k-Means,0.8533333333333334,25,3,20.0
18,iris,k-Means,0.8533333333333334,25,3,50.0
19,iris,k-Means,0.8533333333333334,25,3,100.0
0,iris,k-Means,0.3466666666666667,50,3,0.1
1,iris,k-Means,0.38,50,3,0.5
2,iris,k-Means,0.6733333333333333,50,3,1.0
3,iris,k-Means,0.68,50,3,2.0
4,iris,k-Means,0.88,50,3,3.0
5,iris,k-Means,0.8733333333333333,50,3,4.0
6,iris,k-Means,0.8733333333333333,50,3,5.0
7,iris,k-Means,0.8733333333333333,50,3,10.0
8,iris,k-Means,0.8733333333333333,50,3,11.0
9,iris,k-Means,0.8733333333333333,50,3,12.0
10,iris,k-Means,0.8733333333333333,50,3,13.0
11,iris,k-Means,0.8733333333333333,50,3,14.0
12,iris,k-Means,0.8733333333333333,50,3,15.0
13,iris,k-Means,0.8733333333333333,50,3,16.0
14,iris,k-Means,0.8733333333333333,50,3,17.0
15,iris,k-Means,0.8733333333333333,50,3,18.0
16,iris,k-Means,0.8733333333333333,50,3,19.0
17,iris,k-Means,0.8733333333333333,50,3,20.0
18,iris,k-Means,0.8733333333333333,50,3,50.0
19,iris,k-Means,0.8733333333333333,50,3,100.0
0,iris,k-Means,0.3466666666666667,75,3,0.1
1,iris,k-Means,0.3466666666666667,75,3,0.5
2,iris,k-Means,0.3466666666666667,75,3,1.0
3,iris,k-Means,0.3466666666666667,75,3,2.0
4,iris,k-Means,0.6666666666666666,75,3,3.0
5,iris,k-Means,0.8333333333333334,75,3,4.0
6,iris,k-Means,0.8333333333333334,75,3,5.0
7,iris,k-Means,0.8333333333333334,75,3,10.0
8,iris,k-Means,0.8333333333333334,75,3,11.0
9,iris,k-Means,0.8333333333333334,75,3,12.0
10,iris,k-Means,0.8333333333333334,75,3,13.0
11,iris,k-Means,0.8333333333333334,75,3,14.0
12,iris,k-Means,0.8333333333333334,75,3,15.0
13,iris,k-Means,0.8333333333333334,75,3,16.0
14,iris,k-Means,0.8333333333333334,75,3,17.0
15,iris,k-Means,0.8333333333333334,75,3,18.0
16,iris,k-Means,0.8333333333333334,75,3,19.0
17,iris,k-Means,0.8333333333333334,75,3,20.0
18,iris,k-Means,0.8333333333333334,75,3,50.0
19,iris,k-Means,0.8333333333333334,75,3,100.0
0,iris,k-Means,0.36,100,3,0.1
1,iris,k-Means,0.3466666666666667,100,3,0.5
2,iris,k-Means,0.36666666666666664,100,3,1.0
3,iris,k-Means,0.3466666666666667,100,3,2.0
4,iris,k-Means,0.3466666666666667,100,3,3.0
5,iris,k-Means,0.3466666666666667,100,3,4.0
6,iris,k-Means,0.3466666666666667,100,3,5.0
7,iris,k-Means,0.9333333333333333,100,3,10.0
8,iris,k-Means,0.9333333333333333,100,3,11.0
9,iris,k-Means,0.9333333333333333,100,3,12.0
10,iris,k-Means,0.9333333333333333,100,3,13.0
11,iris,k-Means,0.9333333333333333,100,3,14.0
12,iris,k-Means,0.9333333333333333,100,3,15.0
13,iris,k-Means,0.9333333333333333,100,3,16.0
14,iris,k-Means,0.9333333333333333,100,3,17.0
15,iris,k-Means,0.9333333333333333,100,3,18.0
16,iris,k-Means,0.9333333333333333,100,3,19.0
17,iris,k-Means,0.9333333333333333,100,3,20.0
18,iris,k-Means,0.9333333333333333,100,3,50.0
19,iris,k-Means,0.9333333333333333,100,3,100.0
