dataset,algorithm,mean_purity,num_neighbors,num_clusters,k,ci
iris,kharmonic_kmeans,0.6193333333333334,25,3,0.1,(0.487486483328914, 0.7511801833377528)
iris,kharmonic_kmeans,0.7233333333333334,25,3,0.5,(0.6043246371894182, 0.8423420294772486)
iris,kharmonic_kmeans,0.7653333333333334,25,3,1,(0.6777766265845746, 0.8528900400820922)
iris,kharmonic_kmeans,0.8246666666666667,25,3,2,(0.7268773159247527, 0.9224560174085806)
iris,kharmonic_kmeans,0.8346666666666668,25,3,3,(0.7924397329621683, 0.8768936003711653)
iris,kharmonic_kmeans,0.8346666666666668,25,3,4,(0.7924397329621683, 0.8768936003711653)
iris,kharmonic_kmeans,0.7586666666666668,25,3,5,(0.6892719938603149, 0.8280613394730187)
iris,kharmonic_kmeans,0.8160000000000001,25,3,10,(0.7596974217273353, 0.8723025782726648)
iris,kharmonic_kmeans,0.7966666666666667,25,3,11,(0.732476180949267, 0.8608571523840665)
iris,kharmonic_kmeans,0.7966666666666667,25,3,12,(0.732476180949267, 0.8608571523840665)
iris,kharmonic_kmeans,0.796,25,3,13,(0.7321272176487161, 0.859872782351284)
iris,kharmonic_kmeans,0.8153333333333335,25,3,14,(0.7592623844877255, 0.8714042821789414)
iris,kharmonic_kmeans,0.8326666666666668,25,3,15,(0.7908819119921762, 0.8744514213411574)
iris,kharmonic_kmeans,0.8146666666666667,25,3,16,(0.7588328339936056, 0.8705004993397277)
iris,kharmonic_kmeans,0.7973333333333333,25,3,17,(0.7338972523586662, 0.8607694143080005)
iris,kharmonic_kmeans,0.7226666666666668,25,3,18,(0.6581639599777512, 0.7871693733555823)
iris,kharmonic_kmeans,0.76,25,3,19,(0.6896217771591692, 0.8303782228408308)
iris,kharmonic_kmeans,0.8146666666666667,25,3,20,(0.7588328339936056, 0.8705004993397277)
iris,kharmonic_kmeans,0.7953333333333334,25,3,50,(0.7317838189671901, 0.8588828476994768)
iris,kharmonic_kmeans,0.7593333333333334,25,3,100,(0.6894433473485196, 0.8292233193181472)
iris,kharmonic_kmeans,0.446,50,3,0.1,(0.33148881447774226, 0.5605111855222578)
iris,kharmonic_kmeans,0.5406666666666666,50,3,0.5,(0.42323553180131124, 0.658097801532022)
iris,kharmonic_kmeans,0.5720000000000001,50,3,1,(0.4262546793733212, 0.717745320626679)
iris,kharmonic_kmeans,0.74,50,3,2,(0.6598510137813044, 0.8201489862186956)
iris,kharmonic_kmeans,0.776,50,3,3,(0.6985708987918287, 0.8534291012081714)
iris,kharmonic_kmeans,0.7733333333333332,50,3,4,(0.6979280945753001, 0.8487385720913663)
iris,kharmonic_kmeans,0.8326666666666667,50,3,5,(0.7725754249275038, 0.8927579084058296)
iris,kharmonic_kmeans,0.7933333333333333,50,3,10,(0.7204502703180808, 0.8662163963485858)
iris,kharmonic_kmeans,0.7933333333333333,50,3,11,(0.7194515897773659, 0.8672150768893008)
iris,kharmonic_kmeans,0.7526666666666667,50,3,12,(0.6793876709696179, 0.8259456623637155)
iris,kharmonic_kmeans,0.852,50,3,13,(0.8070482448954095, 0.8969517551045905)
iris,kharmonic_kmeans,0.8326666666666667,50,3,14,(0.7725754249275038, 0.8927579084058296)
iris,kharmonic_kmeans,0.8333333333333333,50,3,15,(0.7730091423269069, 0.8936575243397596)
iris,kharmonic_kmeans,0.8326666666666667,50,3,16,(0.7725754249275038, 0.8927579084058296)
iris,kharmonic_kmeans,0.7933333333333332,50,3,17,(0.7194515897773658, 0.8672150768893007)
iris,kharmonic_kmeans,0.7726666666666666,50,3,18,(0.6977506353711327, 0.8475826979622005)
iris,kharmonic_kmeans,0.8533333333333333,50,3,19,(0.8080901900785135, 0.8985764765881531)
iris,kharmonic_kmeans,0.7933333333333333,50,3,20,(0.7194515897773659, 0.8672150768893008)
iris,kharmonic_kmeans,0.8139999999999998,50,3,50,(0.7456455219236492, 0.8823544780763505)
iris,kharmonic_kmeans,0.8333333333333333,50,3,100,(0.7730091423269069, 0.8936575243397596)
iris,kharmonic_kmeans,0.3466666666666667,75,3,0.1,(nan, nan)
iris,kharmonic_kmeans,0.37733333333333335,75,3,0.5,(0.30796051367594296, 0.44670615299072375)
iris,kharmonic_kmeans,0.37866666666666665,75,3,1,(0.306277637458955, 0.4510556958743783)
iris,kharmonic_kmeans,0.37866666666666665,75,3,2,(0.3062776374589549, 0.4510556958743784)
