,dataset,algorithm,purity,num_neighbors,num_clusters,k
0,wine,Girvan-Newman,0.4044943820224719,25,3,0.1
1,wine,Girvan-Newman,0.4044943820224719,25,3,0.5
2,wine,Girvan-Newman,0.4101123595505618,25,3,1.0
3,wine,Girvan-Newman,0.7078651685393258,25,3,2.0
4,wine,Girvan-Newman,0.7078651685393258,25,3,3.0
5,wine,Girvan-Newman,0.7078651685393258,25,3,4.0
6,wine,Girvan-Newman,0.7078651685393258,25,3,5.0
7,wine,Girvan-Newman,0.7078651685393258,25,3,10.0
8,wine,Girvan-Newman,0.7078651685393258,25,3,11.0
9,wine,Girvan-Newman,0.7078651685393258,25,3,12.0
10,wine,Girvan-Newman,0.7078651685393258,25,3,13.0
11,wine,Girvan-Newman,0.7078651685393258,25,3,14.0
12,wine,Girvan-Newman,0.7078651685393258,25,3,15.0
13,wine,Girvan-Newman,0.7078651685393258,25,3,16.0
14,wine,Girvan-Newman,0.7078651685393258,25,3,17.0
15,wine,Girvan-Newman,0.7078651685393258,25,3,18.0
16,wine,Girvan-Newman,0.7078651685393258,25,3,19.0
17,wine,Girvan-Newman,0.7078651685393258,25,3,20.0
18,wine,Girvan-Newman,0.7078651685393258,25,3,50.0
19,wine,Girvan-Newman,0.7078651685393258,25,3,100.0
0,wine,Girvan-Newman,0.398876404494382,50,3,0.1
1,wine,Girvan-Newman,0.398876404494382,50,3,0.5
2,wine,Girvan-Newman,0.398876404494382,50,3,1.0
3,wine,Girvan-Newman,0.6067415730337079,50,3,2.0
4,wine,Girvan-Newman,0.6067415730337079,50,3,3.0
5,wine,Girvan-Newman,0.7303370786516854,50,3,4.0
6,wine,Girvan-Newman,0.7303370786516854,50,3,5.0
7,wine,Girvan-Newman,0.7303370786516854,50,3,10.0
8,wine,Girvan-Newman,0.7303370786516854,50,3,11.0
9,wine,Girvan-Newman,0.7303370786516854,50,3,12.0
10,wine,Girvan-Newman,0.7303370786516854,50,3,13.0
11,wine,Girvan-Newman,0.7303370786516854,50,3,14.0
12,wine,Girvan-Newman,0.7303370786516854,50,3,15.0
13,wine,Girvan-Newman,0.7303370786516854,50,3,16.0
14,wine,Girvan-Newman,0.7303370786516854,50,3,17.0
15,wine,Girvan-Newman,0.7303370786516854,50,3,18.0
16,wine,Girvan-Newman,0.7303370786516854,50,3,19.0
17,wine,Girvan-Newman,0.7303370786516854,50,3,20.0
18,wine,Girvan-Newman,0.7303370786516854,50,3,50.0
19,wine,Girvan-Newman,0.7303370786516854,50,3,100.0
0,wine,Girvan-Newman,0.4044943820224719,75,3,0.1
1,wine,Girvan-Newman,0.4044943820224719,75,3,0.5
2,wine,Girvan-Newman,0.4044943820224719,75,3,1.0
3,wine,Girvan-Newman,0.4044943820224719,75,3,2.0
4,wine,Girvan-Newman,0.6797752808988764,75,3,3.0
5,wine,Girvan-Newman,0.6797752808988764,75,3,4.0
6,wine,Girvan-Newman,0.6797752808988764,75,3,5.0
7,wine,Girvan-Newman,0.6797752808988764,75,3,10.0
8,wine,Girvan-Newman,0.6797752808988764,75,3,11.0
9,wine,Girvan-Newman,0.6797752808988764,75,3,12.0
10,wine,Girvan-Newman,0.6797752808988764,75,3,13.0
11,wine,Girvan-Newman,0.6797752808988764,75,3,14.0
12,wine,Girvan-Newman,0.6797752808988764,75,3,15.0
13,wine,Girvan-Newman,0.6797752808988764,75,3,16.0
14,wine,Girvan-Newman,0.6797752808988764,75,3,17.0
15,wine,Girvan-Newman,0.6797752808988764,75,3,18.0
16,wine,Girvan-Newman,0.6797752808988764,75,3,19.0
17,wine,Girvan-Newman,0.6797752808988764,75,3,20.0
18,wine,Girvan-Newman,0.6797752808988764,75,3,50.0
19,wine,Girvan-Newman,0.6797752808988764,75,3,100.0
0,wine,Girvan-Newman,0.4101123595505618,100,3,0.1
1,wine,Girvan-Newman,0.4101123595505618,100,3,0.5
