dataset,p_q,algorithm,mean_purity,num_clusters,k,ci
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.8,5,0.1,(0.7046190792063237, 0.8953809207936764)
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.8200000000000001,5,0.5,(0.6947274088686977, 0.9452725911313025)
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.8400000000000001,5,1,(0.7495137134903604, 0.9304862865096397)
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.7999999999999999,5,2,(0.6831827064293375, 0.9168172935706623)
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.76,5,3,(0.6285264737760711, 0.891473526223929)
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.86,5,4,(0.7908899571190191, 0.9291100428809809)
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.76,5,5,(0.6695137134903604, 0.8504862865096396)
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.8600000000000001,5,10,(0.7908899571190192, 0.929110042880981)
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.8200000000000001,5,11,(0.7747568567451802, 0.8652431432548199)
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.8800000000000001,5,12,(0.7799636463249761, 0.9800363536750242)
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.76,5,13,(0.6695137134903604, 0.8504862865096396)
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.82,5,14,(0.738786072393333, 0.9012139276066669)
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.8200000000000001,5,15,(0.7387860723933332, 0.901213927606667)
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.9000000000000001,5,16,(0.8245947612419671, 0.9754052387580332)
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.78,5,17,(0.6987860723933331, 0.8612139276066669)
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.8600000000000001,5,18,(0.7908899571190192, 0.929110042880981)
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.78,5,19,(0.6744326657387537, 0.8855673342612463)
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.8400000000000001,5,20,(0.7796758089935737, 0.9003241910064265)
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.7771999999999999,5,50,(0.71628974099397, 0.8381102590060298)
synthetic_5cluster_50nodes,100_1,harmonic_sc,0.7664,5,100,(0.688710498116324, 0.8440895018836759)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.8600000000000001,5,0.1,(0.7908899571190192, 0.929110042880981)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.8,5,0.5,(0.6491895224839339, 0.9508104775160662)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.8,5,1,(0.6651110082219491, 0.934888991778051)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.8200000000000001,5,2,(0.7387860723933333, 0.9012139276066669)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.8400000000000001,5,3,(0.7271437725598213, 0.9528562274401788)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.78,5,4,(0.6547274088686976, 0.9052725911313024)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.8800000000000001,5,5,(0.8061182564440327, 0.9538817435559676)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.7799999999999999,5,10,(0.6547274088686974, 0.9052725911313024)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.8800000000000001,5,11,(0.8061182564440327, 0.9538817435559676)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.8200000000000001,5,12,(0.7144326657387539, 0.9255673342612463)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.76,5,13,(0.6471437725598213, 0.8728562274401788)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.7999999999999999,5,14,(0.6831827064293375, 0.9168172935706623)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.8,5,15,(0.6651110082219491, 0.934888991778051)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.8,5,16,(0.6831827064293376, 0.9168172935706624)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.78,5,17,(0.6377256800596987, 0.9222743199403014)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.8,5,18,(0.7046190792063237, 0.8953809207936764)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.8400000000000001,5,19,(0.7495137134903604, 0.9304862865096397)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.8600000000000001,5,20,(0.7908899571190192, 0.929110042880981)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.8584000000000002,5,50,(0.7631507958242825, 0.9536492041757179)
synthetic_5cluster_50nodes,100_10,harmonic_sc,0.7991999999999999,5,100,(0.7042895134658804, 0.8941104865341194)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.8,5,0.1,(0.7046190792063237, 0.8953809207936764)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.8400000000000001,5,0.5,(0.7495137134903604, 0.9304862865096397)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.8800000000000001,5,1,(0.8061182564440327, 0.9538817435559676)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.8400000000000001,5,2,(0.7796758089935737, 0.9003241910064265)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.8200000000000001,5,3,(0.7387860723933333, 0.9012139276066669)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.8400000000000001,5,4,(0.7495137134903604, 0.9304862865096397)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.8400000000000001,5,5,(0.7495137134903604, 0.9304862865096397)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.74,5,10,(0.6708899571190191, 0.8091100428809809)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.8968,5,11,(0.7965292901188987, 0.9970707098811014)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.7788,5,12,(0.6742192676395257, 0.8833807323604744)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.8784000000000001,5,13,(0.805995891315152, 0.9508041086848481)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.8976000000000001,5,14,(0.7977803232766726, 0.9974196767233275)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.858,5,15,(0.741562981588016, 0.9744370184119839)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.8187999999999999,5,16,(0.7143933934042132, 0.9232066065957866)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.858,5,17,(0.7626071573362948, 0.9533928426637052)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.858,5,18,(0.741562981588016, 0.9744370184119839)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.8779999999999999,5,19,(0.7793256830017866, 0.9766743169982132)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.8184000000000001,5,20,(0.7139485282703, 0.9228514717297003)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.8692,5,50,(0.7935171776451674, 0.9448828223548326)
synthetic_5cluster_50nodes,100_15,harmonic_sc,0.8012,5,100,(0.7538339845470619, 0.8485660154529382)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.8,5,0.1,(nan, nan)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.8,5,0.5,(0.7325555041109746, 0.8674444958890255)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.86,5,1,(0.7422132516856816, 0.9777867483143183)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.8600000000000001,5,2,(0.7634341776158057, 0.9565658223841945)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.9000000000000001,5,3,(0.8245947612419671, 0.9754052387580332)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.8600000000000001,5,4,(0.7634341776158057, 0.9565658223841945)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.86,5,5,(0.7908899571190191, 0.9291100428809809)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.9000000000000001,5,10,(0.8245947612419671, 0.9754052387580332)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.8200000000000001,5,11,(0.7387860723933332, 0.901213927606667)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.9199999999999999,5,12,(0.8461182564440325, 0.9938817435559674)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.8,5,13,(0.7046190792063237, 0.8953809207936764)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.86,5,14,(0.7422132516856816, 0.9777867483143183)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.82,5,15,(0.6947274088686974, 0.9452725911313025)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.8,5,16,(0.7325555041109746, 0.8674444958890255)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.8200000000000001,5,17,(0.7144326657387539, 0.9255673342612463)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.86,5,18,(0.7634341776158056, 0.9565658223841944)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.8,5,19,(0.7046190792063237, 0.8953809207936764)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.9000000000000001,5,20,(0.8245947612419671, 0.9754052387580332)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.86,5,50,(0.7634341776158056, 0.9565658223841944)
synthetic_5cluster_50nodes,100_20,harmonic_sc,0.2,5,100,(nan, nan)
