dataset,p_q,algorithm,mean_purity,num_clusters,k,ci
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.8200000000000001,10,0.1,(0.7898379044967868, 0.8501620955032133)
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.74,10,0.5,(0.6796758089935735, 0.8003241910064265)
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.76,10,1,(0.6760322797744669, 0.8439677202255331)
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.8400000000000001,10,2,(0.7495137134903604, 0.9304862865096397)
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.8200000000000001,10,3,(0.7461182564440326, 0.8938817435559675)
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.8300000000000001,10,4,(0.7954449785595097, 0.8645550214404905)
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.8300000000000001,10,5,(0.7817170888079028, 0.8782829111920973)
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.858,10,10,(0.798240218405716, 0.917759781594284)
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.8680000000000001,10,11,(0.8337690113694229, 0.9022309886305773)
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.8176,10,12,(0.7526470635870924, 0.8825529364129076)
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.7981999999999999,10,13,(0.7314284162580067, 0.8649715837419931)
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.8008,10,14,(0.7367412192247866, 0.8648587807752133)
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.817,10,15,(0.75261522904876, 0.8813847709512399)
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.806,10,16,(0.7539714780979816, 0.8580285219020185)
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.8086,10,17,(0.7592868186632358, 0.8579131813367642)
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.748,10,18,(0.6928561329140128, 0.8031438670859872)
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.7537999999999999,10,19,(0.7089686842311497, 0.7986313157688502)
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.7651999999999999,10,20,(0.7295997820460682, 0.8008002179539315)
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.5954,10,50,(0.5608249095654024, 0.6299750904345977)
synthetic_10cluster_50nodes,100_1,harmonic_sc,0.5936,10,100,(0.5768498501980817, 0.6103501498019184)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.8400000000000001,10,0.1,(0.8030591282220164, 0.8769408717779837)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.8300000000000001,10,0.5,(0.771106625842841, 0.8888933741571592)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.8400000000000001,10,1,(0.7631014432291334, 0.9168985567708667)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.8099999999999999,10,2,(0.7572163328693768, 0.862783667130623)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.8699999999999999,10,3,(0.8354449785595095, 0.9045550214404903)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.8300000000000001,10,4,(0.7542186729300844, 0.9057813270699158)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.8200000000000001,10,5,(0.7387860723933332, 0.901213927606667)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.8200000000000001,10,10,(0.7635718862799107, 0.8764281137200894)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.8300000000000001,10,11,(0.7404612399832347, 0.9195387600167655)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.8300000000000001,10,12,(0.7542186729300844, 0.9057813270699158)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.8100000000000002,10,13,(0.7572163328693771, 0.8627836671306233)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.7699999999999999,10,14,(0.7217170888079026, 0.8182829111920972)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.8099999999999999,10,15,(0.7243561120599887, 0.8956438879400112)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.8,10,16,(0.6988332561664619, 0.9011667438335382)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.8699999999999999,10,17,(0.8111066258428408, 0.928893374157159)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.8300000000000001,10,18,(0.771106625842841, 0.8888933741571592)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.8099999999999999,10,19,(0.7243561120599887, 0.8956438879400112)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.8300000000000001,10,20,(0.7621352851177703, 0.8978647148822299)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.8099999999999999,10,50,(0.7572163328693768, 0.862783667130623)
synthetic_10cluster_50nodes,100_2,harmonic_sc,0.82,10,100,(0.7542632368880354, 0.8857367631119645)
synthetic_10cluster_50nodes,100_3,harmonic_sc,0.8200000000000001,10,0.1,(0.7542632368880355, 0.8857367631119646)
synthetic_10cluster_50nodes,100_3,harmonic_sc,0.8300000000000001,10,0.5,(0.771106625842841, 0.8888933741571592)
synthetic_10cluster_50nodes,100_3,harmonic_sc,0.8300000000000001,10,1,(0.7817170888079028, 0.8782829111920973)
synthetic_10cluster_50nodes,100_3,harmonic_sc,0.8400000000000001,10,2,(0.7796758089935737, 0.9003241910064265)
