dataset,p_q,algorithm,mean_purity,num_clusters,k,ci
synthetic_3cluster_50nodes,100_1,harmonic_sc,0.8666666666666668,3,0.1,(0.7435304274067212, 0.9898029059266125)
synthetic_3cluster_50nodes,100_1,harmonic_sc,0.9333333333333332,3,0.5,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_1,harmonic_sc,0.8666666666666666,3,1,(0.7435304274067209, 0.9898029059266122)
synthetic_3cluster_50nodes,100_1,harmonic_sc,0.9,3,2,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_50nodes,100_1,harmonic_sc,0.8,3,3,(0.6768637607400544, 0.9231362392599457)
synthetic_3cluster_50nodes,100_1,harmonic_sc,0.9333333333333332,3,4,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_1,harmonic_sc,0.8,3,5,(0.6768637607400544, 0.9231362392599457)
synthetic_3cluster_50nodes,100_1,harmonic_sc,0.8666666666666666,3,10,(0.7435304274067209, 0.9898029059266122)
synthetic_3cluster_50nodes,100_1,harmonic_sc,0.9333333333333332,3,11,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_1,harmonic_sc,0.9333333333333332,3,12,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_1,harmonic_sc,0.9,3,13,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_50nodes,100_1,harmonic_sc,0.9666666666666666,3,14,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_50nodes,100_1,harmonic_sc,0.9666666666666666,3,15,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_50nodes,100_1,harmonic_sc,1.0,3,16,(nan, nan)
synthetic_3cluster_50nodes,100_1,harmonic_sc,0.9666666666666666,3,17,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_50nodes,100_1,harmonic_sc,0.9666666666666666,3,18,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_50nodes,100_1,harmonic_sc,0.9666666666666666,3,19,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_50nodes,100_1,harmonic_sc,0.9666666666666666,3,20,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_50nodes,100_1,harmonic_sc,0.9333333333333332,3,50,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_1,harmonic_sc,0.9333333333333332,3,100,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.8013333333333332,3,0.1,(0.6810457603091431, 0.9216209063575234)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.9006666666666666,3,0.5,(0.7862437891530877, 1.0150895441802457)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.9666666666666666,3,1,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.9333333333333332,3,2,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.9666666666666666,3,3,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.9,3,4,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.8,3,5,(0.6768637607400544, 0.9231362392599457)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.8333333333333333,3,10,(0.7076579354032781, 0.9590087312633884)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.8666666666666668,3,11,(0.7435304274067212, 0.9898029059266125)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.8,3,12,(0.6768637607400544, 0.9231362392599457)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.9333333333333332,3,13,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.9333333333333332,3,14,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.9,3,15,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.9666666666666666,3,16,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.9666666666666666,3,17,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.9,3,18,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.8999999999999998,3,19,(0.784816595198365, 1.0151834048016346)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.8666666666666668,3,20,(0.7435304274067212, 0.9898029059266125)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.9,3,50,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_50nodes,100_10,harmonic_sc,0.8999999999999998,3,100,(0.784816595198365, 1.0151834048016346)
synthetic_3cluster_50nodes,100_20,harmonic_sc,1.0,3,0.1,(nan, nan)
synthetic_3cluster_50nodes,100_20,harmonic_sc,0.8386666666666667,3,0.5,(0.7170004184329446, 0.9603329149003887)
synthetic_3cluster_50nodes,100_20,harmonic_sc,0.9,3,1,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_50nodes,100_20,harmonic_sc,0.9666666666666666,3,2,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_50nodes,100_20,harmonic_sc,0.9333333333333332,3,3,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_20,harmonic_sc,0.9333333333333332,3,4,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_20,harmonic_sc,0.9,3,5,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_50nodes,100_20,harmonic_sc,0.8333333333333333,3,10,(0.7076579354032781, 0.9590087312633884)
synthetic_3cluster_50nodes,100_20,harmonic_sc,0.8666666666666666,3,11,(0.7435304274067209, 0.9898029059266122)
synthetic_3cluster_50nodes,100_20,harmonic_sc,0.8333333333333333,3,12,(0.7076579354032781, 0.9590087312633884)
synthetic_3cluster_50nodes,100_20,harmonic_sc,0.8333333333333333,3,13,(0.7076579354032781, 0.9590087312633884)
synthetic_3cluster_50nodes,100_20,harmonic_sc,0.9666666666666666,3,14,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_50nodes,100_20,harmonic_sc,0.8333333333333333,3,15,(0.7076579354032781, 0.9590087312633884)
synthetic_3cluster_50nodes,100_20,harmonic_sc,0.9,3,16,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_50nodes,100_20,harmonic_sc,0.9333333333333332,3,17,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_20,harmonic_sc,0.8999999999999998,3,18,(0.784816595198365, 1.0151834048016346)
synthetic_3cluster_50nodes,100_20,harmonic_sc,0.9,3,19,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_50nodes,100_20,harmonic_sc,0.9333333333333332,3,20,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_20,harmonic_sc,0.9866666666666667,3,50,(nan, nan)
synthetic_3cluster_50nodes,100_20,harmonic_sc,0.8206666666666667,3,100,(0.7625421008217339, 0.8787912325115994)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.8,3,0.1,(0.6768637607400544, 0.9231362392599457)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.9333333333333332,3,0.5,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.9333333333333332,3,1,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.9666666666666666,3,2,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.9666666666666666,3,3,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.9333333333333332,3,4,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.9666666666666666,3,5,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.9333333333333332,3,10,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.8666666666666666,3,11,(0.7435304274067209, 0.9898029059266122)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.8666666666666666,3,12,(0.7435304274067209, 0.9898029059266122)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.8333333333333333,3,13,(0.7076579354032781, 0.9590087312633884)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.8333333333333334,3,14,(0.7076579354032783, 0.9590087312633885)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.8666666666666666,3,15,(0.7435304274067209, 0.9898029059266122)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.9333333333333332,3,16,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.8,3,17,(0.6768637607400544, 0.9231362392599457)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.8999999999999998,3,18,(0.784816595198365, 1.0151834048016346)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.9666666666666666,3,19,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.8666666666666666,3,20,(0.7435304274067209, 0.9898029059266122)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.9333333333333332,3,50,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_30,harmonic_sc,0.33333333333333337,3,100,(0.3333333333333333, 0.3333333333333334)
synthetic_3cluster_50nodes,100_40,harmonic_sc,0.8333333333333333,3,0.1,(0.7076579354032781, 0.9590087312633884)
synthetic_3cluster_50nodes,100_40,harmonic_sc,0.9666666666666666,3,0.5,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_50nodes,100_40,harmonic_sc,0.9333333333333332,3,1,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_50nodes,100_40,harmonic_sc,0.9666666666666666,3,2,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_50nodes,100_40,harmonic_sc,0.9333333333333332,3,3,(0.8327930149892891, 1.0338736516773772)
