dataset,p_q,algorithm,mean_purity,num_clusters,k,ci
synthetic_5cluster_50nodes,100_1,kmeans,0.7404,5,0.1,(0.6232681127344455, 0.8575318872655544)
synthetic_5cluster_50nodes,100_1,kmeans,0.6836,5,0.5,(0.5472189574391364, 0.8199810425608636)
synthetic_5cluster_50nodes,100_1,kmeans,0.7812,5,1,(0.7003672722460044, 0.8620327277539956)
synthetic_5cluster_50nodes,100_1,kmeans,0.76,5,2,(0.6695137134903604, 0.8504862865096396)
synthetic_5cluster_50nodes,100_1,kmeans,0.8,5,3,(0.6831827064293376, 0.9168172935706624)
synthetic_5cluster_50nodes,100_1,kmeans,0.8800000000000001,5,4,(0.7799636463249761, 0.9800363536750242)
synthetic_5cluster_50nodes,100_1,kmeans,0.8400000000000001,5,5,(0.7796758089935737, 0.9003241910064265)
synthetic_5cluster_50nodes,100_1,kmeans,0.8,5,10,(0.7046190792063237, 0.8953809207936764)
synthetic_5cluster_50nodes,100_1,kmeans,0.8,5,11,(0.7046190792063237, 0.8953809207936764)
synthetic_5cluster_50nodes,100_1,kmeans,0.8200000000000001,5,12,(0.7387860723933333, 0.9012139276066669)
synthetic_5cluster_50nodes,100_1,kmeans,0.8,5,13,(0.6831827064293376, 0.9168172935706624)
synthetic_5cluster_50nodes,100_1,kmeans,0.8200000000000001,5,14,(0.7387860723933333, 0.9012139276066669)
synthetic_5cluster_50nodes,100_1,kmeans,0.8200000000000001,5,15,(0.7144326657387539, 0.9255673342612463)
synthetic_5cluster_50nodes,100_1,kmeans,0.8,5,16,(0.7046190792063237, 0.8953809207936764)
synthetic_5cluster_50nodes,100_1,kmeans,0.72,5,17,(0.6199636463249758, 0.8200363536750241)
synthetic_5cluster_50nodes,100_1,kmeans,0.9,5,18,(0.7988332561664618, 1.0011667438335383)
synthetic_5cluster_50nodes,100_1,kmeans,0.76,5,19,(0.6695137134903604, 0.8504862865096396)
synthetic_5cluster_50nodes,100_1,kmeans,0.8200000000000001,5,20,(0.7387860723933333, 0.9012139276066669)
synthetic_5cluster_50nodes,100_1,kmeans,0.76,5,50,(0.6285264737760711, 0.891473526223929)
synthetic_5cluster_50nodes,100_1,kmeans,0.8036,5,100,(0.7281893322602127, 0.8790106677397873)
synthetic_5cluster_50nodes,100_10,kmeans,0.37760000000000005,5,0.1,(0.2852310755445781, 0.469968924455422)
synthetic_5cluster_50nodes,100_10,kmeans,0.33920000000000006,5,0.5,(0.24751715194902968, 0.43088284805097044)
synthetic_5cluster_50nodes,100_10,kmeans,0.38920000000000005,5,1,(0.28930880435378514, 0.48909119564621495)
