dataset,p_q,algorithm,mean_purity,num_clusters,k,ci
synthetic_10cluster_50nodes,100_1,kmeans,0.5830000000000001,10,0.1,(0.5205773954641713, 0.6454226045358289)
synthetic_10cluster_50nodes,100_1,kmeans,0.6121999999999999,10,0.5,(0.5596345975585995, 0.6647654024414003)
synthetic_10cluster_50nodes,100_1,kmeans,0.6441999999999999,10,1,(0.5935741558816595, 0.6948258441183403)
synthetic_10cluster_50nodes,100_1,kmeans,0.74,10,2,(0.6631014432291332, 0.8168985567708668)
synthetic_10cluster_50nodes,100_1,kmeans,0.7499999999999999,10,3,(0.6804798048957528, 0.819520195104247)
synthetic_10cluster_50nodes,100_1,kmeans,0.75,10,4,(0.6727326230951007, 0.8272673769048993)
synthetic_10cluster_50nodes,100_1,kmeans,0.74,10,5,(0.6631014432291332, 0.8168985567708668)
synthetic_10cluster_50nodes,100_1,kmeans,0.77,10,10,(0.6630946233127936, 0.8769053766872065)
synthetic_10cluster_50nodes,100_1,kmeans,0.72,10,11,(0.6747568567451802, 0.7652431432548198)
synthetic_10cluster_50nodes,100_1,kmeans,0.8,10,12,(0.7173976995563249, 0.8826023004436752)
synthetic_10cluster_50nodes,100_1,kmeans,0.75,10,13,(0.659200068575873, 0.840799931424127)
synthetic_10cluster_50nodes,100_1,kmeans,0.71,10,14,(0.6473637044343488, 0.7726362955656512)
synthetic_10cluster_50nodes,100_1,kmeans,0.8400000000000001,10,15,(0.789981823162488, 0.8900181768375122)
synthetic_10cluster_50nodes,100_1,kmeans,0.86,10,16,(0.7996758089935735, 0.9203241910064265)
synthetic_10cluster_50nodes,100_1,kmeans,0.79,10,17,(0.7372163328693768, 0.8427836671306232)
synthetic_10cluster_50nodes,100_1,kmeans,0.77,10,18,(0.7111066258428409, 0.8288933741571591)
synthetic_10cluster_50nodes,100_1,kmeans,0.78,10,19,(0.7142632368880355, 0.8457367631119646)
synthetic_10cluster_50nodes,100_1,kmeans,0.79,10,20,(0.7372163328693768, 0.8427836671306232)
synthetic_10cluster_50nodes,100_1,kmeans,0.6834,10,50,(0.6463788690130757, 0.7204211309869243)
synthetic_10cluster_50nodes,100_1,kmeans,0.6122,10,100,(0.5939469474310676, 0.6304530525689324)
synthetic_10cluster_50nodes,100_2,kmeans,0.2924,10,0.1,(0.21080665346702424, 0.3739933465329758)
synthetic_10cluster_50nodes,100_2,kmeans,0.5138,10,0.5,(0.4173132290785443, 0.6102867709214558)
synthetic_10cluster_50nodes,100_2,kmeans,0.6511999999999999,10,1,(0.6008320097527484, 0.7015679902472514)
synthetic_10cluster_50nodes,100_2,kmeans,0.712,10,2,(0.6414890454743578, 0.7825109545256421)
synthetic_10cluster_50nodes,100_2,kmeans,0.78,10,3,(0.7347568567451802, 0.8252431432548198)
synthetic_10cluster_50nodes,100_2,kmeans,0.74,10,4,(0.6899818231624879, 0.7900181768375121)
synthetic_10cluster_50nodes,100_2,kmeans,0.75,10,5,(0.6727326230951007, 0.8272673769048993)
