dataset,p_q,algorithm,mean_purity,num_clusters,k,ci
synthetic_3cluster_20nodes,100_1,kmeans,0.7366666666666667,3,0.1,(0.6372638618197436, 0.8360694715135898)
synthetic_3cluster_20nodes,100_1,kmeans,0.8049999999999999,3,0.5,(0.6848435403734667, 0.9251564596265331)
synthetic_3cluster_20nodes,100_1,kmeans,0.8016666666666665,3,1,(0.6795026809595649, 0.9238306523737682)
synthetic_3cluster_20nodes,100_1,kmeans,0.9333333333333332,3,2,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,100_1,kmeans,0.8333333333333333,3,3,(0.7076579354032781, 0.9590087312633884)
synthetic_3cluster_20nodes,100_1,kmeans,0.9333333333333332,3,4,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,100_1,kmeans,0.9666666666666666,3,5,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_20nodes,100_1,kmeans,0.9666666666666666,3,10,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_20nodes,100_1,kmeans,0.9333333333333332,3,11,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,100_1,kmeans,0.9666666666666666,3,12,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_20nodes,100_1,kmeans,0.9666666666666666,3,13,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_20nodes,100_1,kmeans,0.8666666666666668,3,14,(0.7435304274067212, 0.9898029059266125)
synthetic_3cluster_20nodes,100_1,kmeans,0.9,3,15,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_20nodes,100_1,kmeans,0.9333333333333332,3,16,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,100_1,kmeans,0.8666666666666668,3,17,(0.7435304274067212, 0.9898029059266125)
synthetic_3cluster_20nodes,100_1,kmeans,0.9333333333333332,3,18,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,100_1,kmeans,0.8999999999999998,3,19,(0.784816595198365, 1.0151834048016346)
synthetic_3cluster_20nodes,100_1,kmeans,0.9666666666666666,3,20,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_20nodes,100_1,kmeans,0.9333333333333332,3,50,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,100_1,kmeans,0.9333333333333332,3,100,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,100_10,kmeans,0.5599999999999999,3,0.1,(0.456793024814669, 0.6632069751853309)
synthetic_3cluster_20nodes,100_10,kmeans,0.5650000000000001,3,0.5,(0.46423215245381166, 0.6657678475461885)
synthetic_3cluster_20nodes,100_10,kmeans,0.7416666666666667,3,1,(0.5970307173779767, 0.8863026159553566)
synthetic_3cluster_20nodes,100_10,kmeans,0.8699999999999999,3,2,(0.7498764068254687, 0.990123593174531)
synthetic_3cluster_20nodes,100_10,kmeans,0.9,3,3,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_20nodes,100_10,kmeans,0.9,3,4,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_20nodes,100_10,kmeans,0.8333333333333333,3,5,(0.7076579354032781, 0.9590087312633884)
synthetic_3cluster_20nodes,100_10,kmeans,0.8666666666666666,3,10,(0.7435304274067209, 0.9898029059266122)
synthetic_3cluster_20nodes,100_10,kmeans,0.9,3,11,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_20nodes,100_10,kmeans,0.9333333333333332,3,12,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,100_10,kmeans,0.8,3,13,(0.6768637607400544, 0.9231362392599457)
synthetic_3cluster_20nodes,100_10,kmeans,0.9666666666666666,3,14,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_20nodes,100_10,kmeans,0.8999999999999998,3,15,(0.784816595198365, 1.0151834048016346)
synthetic_3cluster_20nodes,100_10,kmeans,0.9666666666666666,3,16,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_20nodes,100_10,kmeans,0.8333333333333333,3,17,(0.7076579354032781, 0.9590087312633884)
synthetic_3cluster_20nodes,100_10,kmeans,0.8666666666666668,3,18,(0.7435304274067212, 0.9898029059266125)
synthetic_3cluster_20nodes,100_10,kmeans,0.9333333333333332,3,19,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,100_10,kmeans,0.9333333333333332,3,20,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,100_10,kmeans,0.9666666666666666,3,50,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_20nodes,100_10,kmeans,0.9333333333333332,3,100,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,100_30,kmeans,0.4116666666666666,3,0.1,(0.34881640141834874, 0.4745169319149845)
synthetic_3cluster_20nodes,100_30,kmeans,0.43499999999999994,3,0.5,(0.3720492947910842, 0.4979507052089157)
synthetic_3cluster_20nodes,100_30,kmeans,0.515,3,1,(0.3779677046051002, 0.6520322953948998)
synthetic_3cluster_20nodes,100_30,kmeans,0.565,3,2,(0.4670941059186104, 0.6629058940813896)
synthetic_3cluster_20nodes,100_30,kmeans,0.8066666666666666,3,3,(0.6484753335799762, 0.9648579997533571)
synthetic_3cluster_20nodes,100_30,kmeans,0.7150000000000001,3,4,(0.5860433235016825, 0.8439566764983176)
synthetic_3cluster_20nodes,100_30,kmeans,0.8383333333333333,3,5,(0.7163504847519065, 0.96031618191476)
synthetic_3cluster_20nodes,100_30,kmeans,0.9666666666666666,3,10,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_20nodes,100_30,kmeans,0.9,3,11,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_20nodes,100_30,kmeans,0.8666666666666666,3,12,(0.7435304274067209, 0.9898029059266122)
synthetic_3cluster_20nodes,100_30,kmeans,0.9666666666666666,3,13,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_20nodes,100_30,kmeans,0.9666666666666666,3,14,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_20nodes,100_30,kmeans,0.9333333333333332,3,15,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,100_30,kmeans,0.9333333333333332,3,16,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,100_30,kmeans,0.9666666666666666,3,17,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_20nodes,100_30,kmeans,0.8,3,18,(0.6768637607400544, 0.9231362392599457)
synthetic_3cluster_20nodes,100_30,kmeans,0.9333333333333332,3,19,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,100_30,kmeans,0.8666666666666666,3,20,(0.7435304274067209, 0.9898029059266122)
synthetic_3cluster_20nodes,100_30,kmeans,0.8616666666666667,3,50,(0.7641487122747658, 0.9591846210585676)
synthetic_3cluster_20nodes,100_30,kmeans,0.8266666666666665,3,100,(0.7475410528767595, 0.9057922804565736)
synthetic_3cluster_20nodes,100_5,kmeans,0.765,3,0.1,(0.618282382913967, 0.911717617086033)
synthetic_3cluster_20nodes,100_5,kmeans,0.7500000000000001,3,0.5,(0.6524901440970383, 0.8475098559029619)
synthetic_3cluster_20nodes,100_5,kmeans,0.7033333333333334,3,1,(0.6286013691143411, 0.7780652975523257)
synthetic_3cluster_20nodes,100_5,kmeans,0.9333333333333332,3,2,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,100_5,kmeans,0.8999999999999998,3,3,(0.784816595198365, 1.0151834048016346)
synthetic_3cluster_20nodes,100_5,kmeans,0.9333333333333332,3,4,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,100_5,kmeans,0.8333333333333333,3,5,(0.7076579354032781, 0.9590087312633884)
synthetic_3cluster_20nodes,100_5,kmeans,0.9333333333333332,3,10,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,100_5,kmeans,0.9,3,11,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_20nodes,100_5,kmeans,0.8999999999999998,3,12,(0.784816595198365, 1.0151834048016346)
synthetic_3cluster_20nodes,100_5,kmeans,0.8666666666666666,3,13,(0.7435304274067209, 0.9898029059266122)
synthetic_3cluster_20nodes,100_5,kmeans,0.9333333333333332,3,14,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,100_5,kmeans,0.8333333333333333,3,15,(0.7076579354032781, 0.9590087312633884)
synthetic_3cluster_20nodes,100_5,kmeans,0.9,3,16,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_20nodes,100_5,kmeans,0.8999999999999998,3,17,(0.784816595198365, 1.0151834048016346)
synthetic_3cluster_20nodes,100_5,kmeans,0.8,3,18,(0.6768637607400544, 0.9231362392599457)
synthetic_3cluster_20nodes,100_5,kmeans,0.9,3,19,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_20nodes,100_5,kmeans,0.9333333333333332,3,20,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,100_5,kmeans,1.0,3,50,(nan, nan)
synthetic_3cluster_20nodes,100_5,kmeans,0.8633333333333333,3,100,(0.7823141169336966, 0.94435254973297)
synthetic_3cluster_20nodes,30_point1,kmeans,0.675,3,0.1,(0.5301458145264004, 0.8198541854735997)
synthetic_3cluster_20nodes,30_point1,kmeans,0.77,3,0.5,(0.6563627512861562, 0.8836372487138439)
synthetic_3cluster_20nodes,30_point1,kmeans,0.8333333333333334,3,1,(0.7076579354032783, 0.9590087312633885)
synthetic_3cluster_20nodes,30_point1,kmeans,0.8333333333333333,3,2,(0.7076579354032781, 0.9590087312633884)
synthetic_3cluster_20nodes,30_point1,kmeans,0.8666666666666666,3,3,(0.7435304274067209, 0.9898029059266122)
synthetic_3cluster_20nodes,30_point1,kmeans,0.8666666666666668,3,4,(0.7435304274067212, 0.9898029059266125)
synthetic_3cluster_20nodes,30_point1,kmeans,0.9666666666666666,3,5,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_20nodes,30_point1,kmeans,0.8333333333333333,3,10,(0.7076579354032781, 0.9590087312633884)
synthetic_3cluster_20nodes,30_point1,kmeans,0.8666666666666666,3,11,(0.7435304274067209, 0.9898029059266122)
synthetic_3cluster_20nodes,30_point1,kmeans,0.8666666666666666,3,12,(0.7435304274067209, 0.9898029059266122)
synthetic_3cluster_20nodes,30_point1,kmeans,0.8,3,13,(0.6768637607400544, 0.9231362392599457)
synthetic_3cluster_20nodes,30_point1,kmeans,0.8,3,14,(0.6768637607400544, 0.9231362392599457)
synthetic_3cluster_20nodes,30_point1,kmeans,0.8666666666666668,3,15,(0.7435304274067212, 0.9898029059266125)
synthetic_3cluster_20nodes,30_point1,kmeans,0.8999999999999998,3,16,(0.784816595198365, 1.0151834048016346)
synthetic_3cluster_20nodes,30_point1,kmeans,0.9333333333333332,3,17,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,30_point1,kmeans,0.7666666666666667,3,18,(0.6514832618650319, 0.8818500714683015)
synthetic_3cluster_20nodes,30_point1,kmeans,0.7666666666666667,3,19,(0.6514832618650319, 0.8818500714683015)
synthetic_3cluster_20nodes,30_point1,kmeans,0.9333333333333332,3,20,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,30_point1,kmeans,0.8,3,50,(0.6768637607400544, 0.9231362392599457)
synthetic_3cluster_20nodes,30_point1,kmeans,0.9333333333333332,3,100,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,50_1,kmeans,0.5950000000000001,3,0.1,(0.49090161815402433, 0.6990983818459758)
synthetic_3cluster_20nodes,50_1,kmeans,0.7783333333333334,3,0.5,(0.6674750940261924, 0.8891915726404744)
synthetic_3cluster_20nodes,50_1,kmeans,0.8716666666666667,3,1,(0.7530980727874036, 0.9902352605459298)
synthetic_3cluster_20nodes,50_1,kmeans,0.9666666666666666,3,2,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_20nodes,50_1,kmeans,0.9333333333333332,3,3,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,50_1,kmeans,0.9,3,4,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_20nodes,50_1,kmeans,0.9333333333333332,3,5,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,50_1,kmeans,0.8,3,10,(0.6768637607400544, 0.9231362392599457)
synthetic_3cluster_20nodes,50_1,kmeans,0.9666666666666666,3,11,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_20nodes,50_1,kmeans,0.8666666666666666,3,12,(0.7435304274067209, 0.9898029059266122)
synthetic_3cluster_20nodes,50_1,kmeans,0.8666666666666666,3,13,(0.7435304274067209, 0.9898029059266122)
synthetic_3cluster_20nodes,50_1,kmeans,0.9333333333333332,3,14,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,50_1,kmeans,0.9333333333333332,3,15,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,50_1,kmeans,0.9,3,16,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_20nodes,50_1,kmeans,0.8666666666666666,3,17,(0.7435304274067209, 0.9898029059266122)
synthetic_3cluster_20nodes,50_1,kmeans,0.9,3,18,(0.7848165951983652, 1.0151834048016348)
synthetic_3cluster_20nodes,50_1,kmeans,0.9333333333333332,3,19,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,50_1,kmeans,0.9666666666666666,3,20,(0.8912614279086335, 1.0420719054246996)
synthetic_3cluster_20nodes,50_1,kmeans,0.8333333333333334,3,50,(0.7076579354032783, 0.9590087312633885)
synthetic_3cluster_20nodes,50_1,kmeans,0.9333333333333332,3,100,(0.8327930149892891, 1.0338736516773772)
synthetic_3cluster_20nodes,50_10,kmeans,0.4683333333333334,3,0.1,(0.40244058242872416, 0.5342260842379426)
