dataset,p_q,algorithm,mean_purity,num_clusters,ci
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,spectral_clustering,0.6666666666666666,3,(0.7454766774516804, 0.9745233225483195)
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,spectral_clustering,0.6333333333333333,3,(0.6311241052947094, 0.875542561371957)
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,spectral_clustering,0.6333333333333333,3,(0.7178834701473931, 0.9887831965192735)
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,spectral_clustering,0.9333333333333333,3,(0.7620272214489614, 0.9379727785510386)
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,spectral_clustering,0.6333333333333333,3,(0.7152504177922219, 0.904749582207778)
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,spectral_clustering,0.6666666666666666,3,(0.7207408684392229, 0.9325924648941102)
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,spectral_clustering,1.0,3,(0.8912614279086335, 1.0420719054246996)
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,spectral_clustering,0.6666666666666666,3,(0.758184203493043, 0.9818157965069567)
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,spectral_clustering,0.65,3,(0.6607069487770572, 0.9192930512229429)
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,spectral_clustering,1.0,3,(0.7435304274067212, 0.9898029059266125)
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,spectral_clustering,0.6666666666666666,3,(0.7092207770615779, 0.9507792229384218)
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,spectral_clustering,1.0,3,(0.8912614279086335, 1.0420719054246996)
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,spectral_clustering,1.0,3,(0.8395599250687902, 1.0137734082645433)
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,spectral_clustering,0.9833333333333333,3,(0.8497804572904588, 1.0168862093762077)
./synthetic_graphs/three_graphs/size_twenty\50_point1.txt,50_point1,spectral_clustering,0.6666666666666666,3,(0.8264409431506399, 1.0202257235160266)
./synthetic_graphs/three_graphs/size_twenty\70_1.txt,70_1,spectral_clustering,0.7833333333333333,3,(0.7895281699100642, 0.9871384967566024)
./synthetic_graphs/three_graphs/size_twenty\70_10.txt,70_10,spectral_clustering,0.9833333333333333,3,(0.7440342256672666, 0.9792991076660668)
./synthetic_graphs/three_graphs/size_twenty\70_20.txt,70_20,spectral_clustering,0.9833333333333333,3,(0.7752754348994582, 0.9980578984338748)
