dataset,p_q,algorithm,purity,num_clusters
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_twenty\100_10.txt,100_10,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_twenty\100_30.txt,100_30,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_twenty\100_5.txt,100_5,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_twenty\30_point1.txt,30_point1,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_twenty\50_1.txt,50_1,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_twenty\50_10.txt,50_10,Classical-Girvan-Newman,0.6833333333333333,3
./synthetic_graphs/three_graphs/size_twenty\50_5.txt,50_5,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_twenty\50_point1.txt,50_point1,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_twenty\70_1.txt,70_1,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_twenty\70_10.txt,70_10,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_twenty\70_20.txt,70_20,Classical-Girvan-Newman,0.9833333333333333,3
./synthetic_graphs/three_graphs/size_fifty\100_1.txt,100_1,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_fifty\100_10.txt,100_10,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_fifty\100_20.txt,100_20,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_fifty\100_30.txt,100_30,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_fifty\100_40.txt,100_40,Classical-Girvan-Newman,0.3466666666666667,3
./synthetic_graphs/three_graphs/size_fifty\100_50.txt,100_50,Classical-Girvan-Newman,0.3466666666666667,3
./synthetic_graphs/three_graphs/size_fifty\10_1.txt,10_1,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_fifty\10_point1.txt,10_point1,Classical-Girvan-Newman,0.9933333333333333,3
./synthetic_graphs/three_graphs/size_fifty\20_1.txt,20_1,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_fifty\20_5.txt,20_5,Classical-Girvan-Newman,0.3466666666666667,3
./synthetic_graphs/three_graphs/size_fifty\30_1.txt,30_1,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_fifty\40_1.txt,40_1,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_fifty\40_10.txt,40_10,Classical-Girvan-Newman,0.9933333333333333,3
./synthetic_graphs/three_graphs/size_fifty\50_1.txt,50_1,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_fifty\50_10.txt,50_10,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_fifty\60_1.txt,60_1,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_fifty\60_10.txt,60_10,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_fifty\60_20.txt,60_20,Classical-Girvan-Newman,0.3466666666666667,3
./synthetic_graphs/three_graphs/size_fifty\70_1.txt,70_1,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_fifty\70_10.txt,70_10,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_fifty\70_20.txt,70_20,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_fifty\70_30.txt,70_30,Classical-Girvan-Newman,0.3466666666666667,3
./synthetic_graphs/three_graphs/size_fifty\80_1.txt,80_1,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_fifty\80_10.txt,80_10,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_fifty\80_20.txt,80_20,Classical-Girvan-Newman,1.0,3
./synthetic_graphs/three_graphs/size_fifty\80_30.txt,80_30,Classical-Girvan-Newman,0.3466666666666667,3
