dataset,p_q,algorithm,purity,num_clusters,k
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,0.1
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,0.5
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,1
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,2
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,3
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,4
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,5
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,10
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,11
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,12
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,13
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,14
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,15
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,16
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,17
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,18
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,19
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,20
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,50
./synthetic_graphs/three_graphs/size_ten\100_1.txt,100_1,girvan-newman,1.0,3,100
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,0.4,3,0.1
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,1.0,3,0.5
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,1.0,3,1
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,1.0,3,2
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,1.0,3,3
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,1.0,3,4
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,1.0,3,5
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,1.0,3,10
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,1.0,3,11
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,1.0,3,12
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,1.0,3,13
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,1.0,3,14
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,1.0,3,15
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,1.0,3,16
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,1.0,3,17
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,1.0,3,18
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,1.0,3,19
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,1.0,3,20
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,1.0,3,50
./synthetic_graphs/three_graphs/size_ten\100_10.txt,100_10,girvan-newman,1.0,3,100
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,0.4,3,0.1
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,1.0,3,0.5
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,1.0,3,1
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,1.0,3,2
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,1.0,3,3
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,1.0,3,4
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,1.0,3,5
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,1.0,3,10
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,1.0,3,11
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,1.0,3,12
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,1.0,3,13
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,1.0,3,14
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,1.0,3,15
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,1.0,3,16
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,1.0,3,17
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,1.0,3,18
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,1.0,3,19
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,1.0,3,20
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,1.0,3,50
./synthetic_graphs/three_graphs/size_ten\100_5.txt,100_5,girvan-newman,1.0,3,100
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,0.7,3,0.1
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,0.7,3,0.5
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,1.0,3,1
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,1.0,3,2
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,1.0,3,3
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,1.0,3,4
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,1.0,3,5
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,1.0,3,10
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,1.0,3,11
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,1.0,3,12
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,1.0,3,13
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,1.0,3,14
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,1.0,3,15
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,1.0,3,16
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,1.0,3,17
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,1.0,3,18
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,1.0,3,19
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,1.0,3,20
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,1.0,3,50
./synthetic_graphs/three_graphs/size_ten\50_1.txt,50_1,girvan-newman,1.0,3,100
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.4,3,0.1
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.4,3,0.5
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.4,3,1
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.4,3,2
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.4,3,3
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.4,3,4
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.7,3,5
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.7,3,10
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.7,3,11
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.7,3,12
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.7,3,13
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.7,3,14
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.7,3,15
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.7,3,16
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.7,3,17
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.7,3,18
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.7,3,19
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.7,3,20
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.7,3,50
./synthetic_graphs/three_graphs/size_ten\50_10.txt,50_10,girvan-newman,0.7,3,100
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,0.7,3,0.1
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,0.7,3,0.5
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,1.0,3,1
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,1.0,3,2
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,1.0,3,3
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,1.0,3,4
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,1.0,3,5
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,1.0,3,10
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,1.0,3,11
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,1.0,3,12
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,1.0,3,13
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,1.0,3,14
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,1.0,3,15
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,1.0,3,16
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,1.0,3,17
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,1.0,3,18
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,1.0,3,19
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,1.0,3,20
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,1.0,3,50
./synthetic_graphs/three_graphs/size_ten\70_1.txt,70_1,girvan-newman,1.0,3,100
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,0.1
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,0.5
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,1
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,2
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,3
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,4
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,5
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,10
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,11
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,12
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,13
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,14
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,15
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,16
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,17
./synthetic_graphs/three_graphs/size_twenty\100_1.txt,100_1,girvan-newman,1.0,3,18
