dataset,algorithm,purity,num_neighbors,num_clusters,k
wine,girvan-newman,0.4044943820224719,25,3,0.1
wine,girvan-newman,0.4044943820224719,25,3,0.5
wine,girvan-newman,0.4101123595505618,25,3,1
wine,girvan-newman,0.7078651685393258,25,3,2
wine,girvan-newman,0.7078651685393258,25,3,3
wine,girvan-newman,0.7078651685393258,25,3,4
wine,girvan-newman,0.7078651685393258,25,3,5
wine,girvan-newman,0.7078651685393258,25,3,10
wine,girvan-newman,0.7078651685393258,25,3,11
wine,girvan-newman,0.7078651685393258,25,3,12
wine,girvan-newman,0.7078651685393258,25,3,13
wine,girvan-newman,0.7078651685393258,25,3,14
wine,girvan-newman,0.7078651685393258,25,3,15
wine,girvan-newman,0.7078651685393258,25,3,16
wine,girvan-newman,0.7078651685393258,25,3,17
wine,girvan-newman,0.7078651685393258,25,3,18
wine,girvan-newman,0.7078651685393258,25,3,19
wine,girvan-newman,0.7078651685393258,25,3,20
wine,girvan-newman,0.7078651685393258,25,3,50
wine,girvan-newman,0.7078651685393258,25,3,100
wine,girvan-newman,0.398876404494382,50,3,0.1
wine,girvan-newman,0.4101123595505618,50,3,0.5
wine,girvan-newman,0.4101123595505618,50,3,1
wine,girvan-newman,0.6067415730337079,50,3,2
wine,girvan-newman,0.6067415730337079,50,3,3
wine,girvan-newman,0.7303370786516854,50,3,4
wine,girvan-newman,0.7303370786516854,50,3,5
wine,girvan-newman,0.7303370786516854,50,3,10
wine,girvan-newman,0.7303370786516854,50,3,11
wine,girvan-newman,0.7303370786516854,50,3,12
wine,girvan-newman,0.7303370786516854,50,3,13
wine,girvan-newman,0.7303370786516854,50,3,14
wine,girvan-newman,0.7303370786516854,50,3,15
wine,girvan-newman,0.7303370786516854,50,3,16
wine,girvan-newman,0.7303370786516854,50,3,17
wine,girvan-newman,0.7303370786516854,50,3,18
wine,girvan-newman,0.7303370786516854,50,3,19
wine,girvan-newman,0.7303370786516854,50,3,20
wine,girvan-newman,0.7303370786516854,50,3,50
wine,girvan-newman,0.7303370786516854,50,3,100
wine,girvan-newman,0.4044943820224719,75,3,0.1
wine,girvan-newman,0.4044943820224719,75,3,0.5
wine,girvan-newman,0.4101123595505618,75,3,1
wine,girvan-newman,0.4101123595505618,75,3,2
wine,girvan-newman,0.6797752808988764,75,3,3
wine,girvan-newman,0.6797752808988764,75,3,4
wine,girvan-newman,0.6797752808988764,75,3,5
wine,girvan-newman,0.6797752808988764,75,3,10
wine,girvan-newman,0.6797752808988764,75,3,11
wine,girvan-newman,0.6797752808988764,75,3,12
wine,girvan-newman,0.6797752808988764,75,3,13
wine,girvan-newman,0.6797752808988764,75,3,14
wine,girvan-newman,0.6797752808988764,75,3,15
wine,girvan-newman,0.6797752808988764,75,3,16
wine,girvan-newman,0.6797752808988764,75,3,17
wine,girvan-newman,0.6797752808988764,75,3,18
wine,girvan-newman,0.6797752808988764,75,3,19
wine,girvan-newman,0.6797752808988764,75,3,20
wine,girvan-newman,0.6797752808988764,75,3,50
wine,girvan-newman,0.6797752808988764,75,3,100
wine,girvan-newman,0.4101123595505618,100,3,0.1
wine,girvan-newman,0.4101123595505618,100,3,0.5
wine,girvan-newman,0.4101123595505618,100,3,1
wine,girvan-newman,0.4101123595505618,100,3,2
wine,girvan-newman,0.4101123595505618,100,3,3
wine,girvan-newman,0.4101123595505618,100,3,4
wine,girvan-newman,0.6348314606741573,100,3,5
wine,girvan-newman,0.6797752808988764,100,3,10
wine,girvan-newman,0.6797752808988764,100,3,11
wine,girvan-newman,0.6853932584269663,100,3,12
wine,girvan-newman,0.6853932584269663,100,3,13
wine,girvan-newman,0.6797752808988764,100,3,14
wine,girvan-newman,0.6853932584269663,100,3,15
wine,girvan-newman,0.6797752808988764,100,3,16
wine,girvan-newman,0.6797752808988764,100,3,17
wine,girvan-newman,0.6797752808988764,100,3,18
wine,girvan-newman,0.6797752808988764,100,3,19
wine,girvan-newman,0.6797752808988764,100,3,20
wine,girvan-newman,0.6797752808988764,100,3,50
wine,girvan-newman,0.6797752808988764,100,3,100
wine,girvan-newman,0.4101123595505618,125,3,0.1
wine,girvan-newman,0.4101123595505618,125,3,0.5
wine,girvan-newman,0.4101123595505618,125,3,1
wine,girvan-newman,0.4101123595505618,125,3,2
wine,girvan-newman,0.4101123595505618,125,3,3
wine,girvan-newman,0.4101123595505618,125,3,4
wine,girvan-newman,0.4101123595505618,125,3,5
wine,girvan-newman,0.4101123595505618,125,3,10
wine,girvan-newman,0.4101123595505618,125,3,11
wine,girvan-newman,0.4101123595505618,125,3,12
wine,girvan-newman,0.4101123595505618,125,3,13
wine,girvan-newman,0.4101123595505618,125,3,14
wine,girvan-newman,0.4101123595505618,125,3,15
wine,girvan-newman,0.4101123595505618,125,3,16
wine,girvan-newman,0.4101123595505618,125,3,17
wine,girvan-newman,0.4101123595505618,125,3,18
wine,girvan-newman,0.4101123595505618,125,3,19
wine,girvan-newman,0.4101123595505618,125,3,20
wine,girvan-newman,0.4101123595505618,125,3,50
wine,girvan-newman,0.4101123595505618,125,3,100
